,TP,FP,FN,TN,recall,precision,f1s,acc
Event,1109,52,33,15811,0.9711033274956217,0.9552110249784669,0.963091619626574,0.9950014701558365
Length,0,0,1142,15863,0.0,0.0,0.0,0.9328432813878271
Event + Length,1109,52,33,15811,0.9711033274956217,0.9552110249784669,0.963091619626574,0.9950014701558365
ECVC,843,38,299,15825,0.7381786339754816,0.9568671963677639,0.8334157192288679,0.9801822993237284
Event + Length + ECVC,0,0,1142,15863,0.0,0.0,0.0,0.9328432813878271
ECVC(idf),819,36,323,15827,0.7171628721541156,0.9578947368421052,0.8202303455182773,0.9788885621875919
Event+Length+ECVC(idf),0,0,1142,15863,0.0,0.0,0.0,0.9328432813878271
2-gram,157,93,985,15770,0.13747810858143608,0.628,0.22557471264367818,0.9366068803293149
2-gram + Length,157,93,985,15770,0.13747810858143608,0.628,0.22557471264367818,0.9366068803293149
3-gram,30,20,1112,15843,0.02626970227670753,0.6,0.05033557046979866,0.9334313437224345
10-gram,33,134,1109,15729,0.028896672504378284,0.19760479041916168,0.05042016806722689,0.9269038518082917
Edit,0,0,1142,15863,0.0,0.0,0.0,0.9328432813878271
Event + Length + Edit,0,0,1142,15863,0.0,0.0,0.0,0.9328432813878271
