,TP,FP,FN,TN,recall,precision,f1s,acc
Event,3845,0,12993,385705,0.2283525359306331,1.0,0.37180292994246483,0.9677227029162102
Length,6193,0,10645,385705,0.36779902601259057,1.0,0.5377968824627676,0.9735556201449286
Event + Length,6795,0,10043,385705,0.4035514906758522,1.0,0.5750433715567216,0.975051112551951
ECVC,6255,2,10583,385703,0.3714811735360494,0.9996803579990411,0.5416756873782204,0.9737046725442996
Event + Length + ECVC,0,0,16838,385705,0.0,0.0,0.0,0.9581709283231854
ECVC(idf),12578,7,4260,385698,0.7470008314526666,0.9994437822804927,0.8549773986337219,0.9893998901980658
Event+Length+ECVC(idf),0,0,16838,385705,0.0,0.0,0.0,0.9581709283231854
2-gram,4548,0,12290,385705,0.2701033376885616,1.0,0.425324978958197,0.969469100195507
2-gram + Length,6193,0,10645,385705,0.36779902601259057,1.0,0.5377968824627676,0.9735556201449286
3-gram,6181,0,10657,385705,0.3670863522983727,1.0,0.537034623571832,0.9735258096650544
10-gram,10,0,16828,385705,0.0005938947618482005,1.0,0.0011870845204178537,0.9581957703897472
Edit,0,0,16838,385705,0.0,0.0,0.0,0.9581709283231854
Event + Length + Edit,0,0,16838,385705,0.0,0.0,0.0,0.9581709283231854
