,TP,FP,FN,TN,recall,precision,f1s,acc
Event,31028,279,0,13974,1.0,0.9910882550228384,0.9955241838453518,0.9938384752986904
Length,0,0,31028,14253,0.0,0.0,0.0,0.3147677833970098
Event + Length,31028,279,0,13974,1.0,0.9910882550228384,0.9955241838453518,0.9938384752986904
ECVC,0,0,31028,14253,0.0,0.0,0.0,0.3147677833970098
Event + Length + ECVC,0,0,31028,14253,0.0,0.0,0.0,0.3147677833970098
ECVC(idf),0,0,31028,14253,0.0,0.0,0.0,0.3147677833970098
Event+Length+ECVC(idf),0,0,31028,14253,0.0,0.0,0.0,0.3147677833970098
2-gram,5,50,31023,14203,0.00016114477246358127,0.09090909090909091,0.00032171926776694657,0.3137739890903469
2-gram + Length,5,50,31023,14203,0.00016114477246358127,0.09090909090909091,0.00032171926776694657,0.3137739890903469
3-gram,5,175,31023,14078,0.00016114477246358127,0.027777777777777776,0.0003204306588054345,0.31101344934961683
10-gram,3,56,31025,14197,9.668686347814877e-05,0.05084745762711865,0.0001930067230675202,0.31359731454694023
Edit,0,0,31028,14253,0.0,0.0,0.0,0.3147677833970098
Event + Length + Edit,0,0,31028,14253,0.0,0.0,0.0,0.3147677833970098
