,TP,FP,FN,TN,recall,precision,f1s,acc
Event,15430,129,0,26014,1.0,0.9917089787261392,0.9958372325663944,0.996897024511101
Length,0,0,15430,26143,0.0,0.0,0.0,0.6288456450099824
Event + Length,15430,129,0,26014,1.0,0.9917089787261392,0.9958372325663944,0.996897024511101
ECVC,0,0,15430,26143,0.0,0.0,0.0,0.6288456450099824
Event + Length + ECVC,0,0,15430,26143,0.0,0.0,0.0,0.6288456450099824
ECVC(idf),0,0,15430,26143,0.0,0.0,0.0,0.6288456450099824
Event+Length+ECVC(idf),0,0,15430,26143,0.0,0.0,0.0,0.6288456450099824
2-gram,13,286,15417,25857,0.0008425145819831498,0.043478260869565216,0.001652997647657194,0.622278882928824
2-gram + Length,13,286,15417,25857,0.0008425145819831498,0.043478260869565216,0.001652997647657194,0.622278882928824
3-gram,0,9,15430,26134,0.0,0.0,0.0,0.6286291583479662
10-gram,0,2,15430,26141,0.0,0.0,0.0,0.6287975368628678
Edit,0,0,15430,26143,0.0,0.0,0.0,0.6288456450099824
Event + Length + Edit,0,0,15430,26143,0.0,0.0,0.0,0.6288456450099824
